Duration:	2.16377e+07	ns
Duration:	3.62391e+07	ns
Duration:	74788	ns
Duration:	4.55573e+06	ns
Duration:	87234	ns
Duration:	64728	ns
Duration:	54613	ns
Duration:	60089	ns
Duration:	1.01082e+07	ns
Duration:	54396	ns
Duration:	1.01755e+07	ns
Duration:	58348	ns
Duration:	755386	ns
Duration:	189159	ns
Duration:	269204	ns
Duration:	310700	ns
Duration:	1.93004e+06	ns
Duration:	22439	ns
Duration:	23443	ns
Duration:	20610	ns
Duration:	38736	ns
Duration:	45322	ns
Duration:	326432	ns
Duration:	353300	ns
Duration:	18958	ns
Duration:	33248	ns
Duration:	21043	ns
Duration:	37156	ns
Duration:	1.85776e+06	ns
Duration:	107211	ns
Duration:	53140	ns
Duration:	1.91792e+06	ns
Duration:	26996	ns
Duration:	124548	ns
Duration:	1.5233e+06	ns
Duration:	21324	ns
Duration:	85855	ns
Duration:	20902	ns
Duration:	25120	ns
Duration:	19797	ns
Duration:	199487	ns
Duration:	19573	ns
Duration:	1.89388e+06	ns
Duration:	16836	ns
Duration:	12790	ns
Duration:	69238	ns
Duration:	1.60463e+06	ns
Duration:	64206	ns
Duration:	26397	ns
Duration:	1.15133e+06	ns
Duration:	2.00133e+07	ns
Duration:	5.19425e+07	ns
Duration:	3.4796e+08	ns
Duration:	3.04611e+09	ns
